Gene	OF2_OO_sc.1	OF2_OO_sc.2	OF2_OO_sc.3	OF2_OO_sc.4	OF2_OO_sc.5	OF2_OO_sc.6	OF2_OO_sc.7	OF2_OO_sc.8	OF2_OO_sc.9	OF2_OO_sc.10	OF2_OO_sc.11	OF2_OO_sc.12	OF2_OO_sc.13	OF2_OO_sc.14	OF2_OO_sc.15	OF2_OO_sc.16	OF2_OO_sc.17	OF2_OO_sc.18	OF2_OO_sc.19	OF2_OO_sc.20	OF2_OO_sc.21	OF2_OO_sc.22	OF2_OO_sc.23	OF2_OO_sc.24	OF2_OO_sc.25	OF2_OO_sc.27	OF2_OO_sc.28	OF2_OO_sc.29	OF2_OO_sc.30	OF2_OO_sc.31	OF2_OO_sc.32	OF2_OO_sc.33	OF2_OO_sc.34	OF2_OO_sc.35	OF2_OO_sc.36	OF2_OO_sc.37	OF2_OO_sc.38
MTIF2	0	1	2	6	1	4	1	6	14	0	138	261	129	4	17	2	46	27	0	5	125	53	44	152	30	11	1	1	0	1	11	12	0	19	10	11	3
MTIF3	9	1	3	26	6	4	8	19	101	1	85	1001	951	1	146	11	317	273	6	82	767	437	161	551	88	7	1	3	4	4	82	47	0	59	37	17	7
MTM1	0	0	0	2	0	0	4	1	1	0	95	122	98	0	23	0	46	39	0	0	68	32	32	71	15	1	0	3	2	0	18	3	0	3	5	4	0
MTMR1	0	0	0	1	0	0	0	0	3	0	47	39	62	1	1	0	7	8	0	0	35	2	23	32	10	2	0	0	0	0	1	2	0	0	0	0	0
MTMR10	0	0	2	2	0	0	0	0	5	0	47	53	46	0	2	0	4	10	0	3	30	9	10	46	9	5	0	0	0	2	3	1	0	0	1	0	0
MTMR11	0	0	0	0	0	0	0	0	1	0	18	17	4	0	0	0	0	2	0	2	3	0	4	6	3	1	0	0	0	0	0	0	0	0	0	0	0
MTMR12	0	0	0	0	0	0	0	0	1	0	2	10	6	0	0	0	0	0	0	0	7	1	3	8	1	0	0	0	0	0	0	0	0	1	0	0	0
MTMR14	0	0	0	0	0	0	0	3	8	0	37	495	274	0	11	1	19	37	0	8	187	26	84	273	42	2	0	0	2	0	20	4	0	2	8	1	0
MTMR2	1	1	0	1	1	1	1	0	10	1	94	264	209	0	25	7	54	69	0	9	143	46	55	110	17	6	0	0	2	0	23	5	0	8	9	1	1
MTMR3	0	0	4	2	0	1	5	14	26	1	87	921	1241	15	171	14	348	284	2	69	1045	238	619	1301	247	12	0	2	3	3	185	9	0	6	12	1	3
MTMR4	0	0	0	2	0	0	0	0	9	0	39	25	84	1	6	1	4	14	0	2	42	9	20	85	17	3	0	0	1	0	2	3	0	0	1	1	0
MTMR6	0	2	0	3	0	0	4	2	31	0	53	304	231	3	30	3	63	30	1	9	174	59	68	219	35	2	1	2	0	0	20	3	1	10	20	6	4
MTMR7	0	0	0	0	0	0	0	0	3	0	3	15	11	0	1	0	3	2	0	0	12	4	5	20	1	0	0	0	0	0	0	0	0	1	0	0	0
MTMR8	0	0	0	2	0	0	0	0	6	0	1	44	17	0	8	0	17	5	0	3	26	13	5	9	4	0	0	0	2	0	1	2	0	3	1	1	0
MTMR9	0	0	0	0	0	0	0	0	0	0	0	3	5	0	0	2	3	0	0	0	2	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
MTNR1A	0	0	0	0	0	0	0	0	0	0	14	2	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
MTNR1B	0	0	0	0	0	0	0	0	1	0	55	0	0	0	1	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTO1	0	0	0	0	0	0	0	0	1	0	4	46	12	0	3	1	2	5	0	1	12	7	5	8	0	1	0	0	1	0	1	2	0	3	3	0	0
MTOR	2	0	0	2	1	3	1	2	18	0	48	254	320	0	26	6	63	49	1	25	242	56	102	313	75	11	0	0	0	0	33	3	0	5	12	2	4
MTPAP	0	0	0	0	1	0	4	2	18	0	69	350	217	0	19	0	55	56	1	10	135	88	39	123	13	1	0	0	1	0	20	3	1	6	6	4	1
MTPN	0	0	0	4	0	0	1	7	16	2	229	352	195	3	28	0	71	48	2	7	137	61	47	153	26	7	0	2	2	0	15	11	0	3	7	1	1
MTR	1	1	0	6	2	0	2	3	16	0	132	164	157	2	52	7	204	227	1	24	118	166	49	85	9	0	0	1	9	1	22	4	0	11	5	5	2
MTRF1	0	2	1	0	0	0	0	6	10	0	14	171	54	1	5	0	22	24	1	9	41	32	13	32	13	0	0	0	0	0	2	4	0	1	4	0	0
MTRR	0	0	0	1	0	0	0	0	3	0	57	88	23	1	2	0	9	6	0	4	36	20	9	22	5	1	0	0	0	1	5	1	0	1	0	0	0
MTSS1	1	0	0	2	3	2	2	5	22	1	20	412	445	1	60	4	107	85	1	29	352	121	182	431	84	6	0	2	3	0	57	7	0	27	10	9	9
MTSS1L	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0
MTTP	0	0	0	0	0	0	0	0	0	0	2	6	0	0	2	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1
MTURN	0	0	0	0	0	0	0	0	0	0	0	24	3	0	0	0	0	0	0	0	2	0	3	7	0	0	0	0	0	0	1	0	0	0	0	0	0
MTUS1	0	0	0	3	0	0	2	13	26	0	157	266	246	1	28	6	86	61	0	10	208	62	116	335	56	11	0	1	1	0	10	16	0	5	3	2	1
MTUS2	0	1	0	0	3	0	7	0	5	0	63	144	114	0	8	0	16	28	0	9	101	15	46	121	15	6	0	0	0	1	5	1	0	2	4	1	0
MTX1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
MTX2	0	0	0	4	1	0	1	2	5	0	51	149	96	0	12	1	19	16	0	8	62	38	16	52	10	3	1	1	1	2	7	7	0	12	7	1	2
MTX3	0	0	0	0	1	0	0	0	0	0	3	2	2	0	0	0	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
MUC1	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MUC13	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MUC15	0	1	0	3	0	1	0	4	11	0	1	44	6	0	0	3	12	9	0	2	7	6	5	4	0	1	0	1	0	0	0	3	0	2	0	0	0
MUC17	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	2	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0
MUC22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MUC5B	0	0	0	1	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
MUC6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MUC7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
MUCL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MUL1	0	0	0	5	0	0	0	0	11	0	27	218	97	0	2	0	8	12	0	1	57	7	11	49	6	4	0	0	0	0	0	3	2	11	10	1	1
MUM1	0	2	0	1	0	0	0	5	11	0	225	146	69	4	2	0	23	15	0	4	73	20	72	199	76	8	0	0	2	1	4	1	0	2	5	3	0
MUS81	0	0	0	0	0	0	0	0	2	0	56	143	59	1	9	0	6	3	0	1	48	10	12	71	13	0	0	0	1	0	1	0	0	2	3	0	0
MUSK	0	0	0	0	0	0	0	0	2	0	0	19	13	0	0	1	1	0	0	3	8	2	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0
MUT	1	0	0	2	0	0	1	0	6	1	62	104	26	0	11	0	11	12	0	1	31	20	22	42	9	5	0	0	0	0	6	1	0	10	4	1	0
MUTYH	0	0	0	0	0	0	0	0	4	1	14	66	28	0	0	0	1	2	0	1	26	7	3	11	0	1	0	0	0	0	0	1	0	2	1	1	0
MVB12B	0	0	0	0	0	0	0	0	2	0	37	13	11	0	0	0	4	2	0	2	9	1	5	19	2	0	0	0	0	0	0	0	0	1	0	0	0
MVD	0	0	0	0	1	0	1	0	5	0	53	66	23	5	0	0	2	1	0	1	11	2	7	29	11	4	0	0	0	0	0	0	0	1	0	0	0
MVK	0	0	0	0	0	0	0	0	14	0	26	75	33	2	1	0	2	2	0	0	24	0	12	33	4	5	0	0	0	0	0	7	0	12	4	4	2
MVP	0	5	1	7	1	5	4	2	108	3	248	1027	1109	54	55	15	180	98	3	70	1096	230	1728	2550	1649	91	0	3	9	2	57	33	1	59	78	5	5
MX1	2	1	0	1	0	1	2	0	33	1	10	98	55	1	1	0	7	5	0	3	43	6	21	132	18	5	0	1	1	0	0	13	0	22	110	7	0
MX2	0	0	0	0	0	0	0	0	3	0	8	1	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	1	0	0	0	0	0	0
MXD1	8	1	0	3	1	3	5	4	16	0	26	403	305	0	53	5	121	151	2	22	318	111	109	425	55	9	1	2	7	0	16	8	0	14	9	2	2
MXD3	0	0	0	0	0	0	0	0	2	0	25	6	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MXD4	0	0	0	5	0	0	0	0	16	0	101	64	111	0	2	0	7	4	0	2	57	9	21	135	29	3	0	0	1	0	1	4	0	3	0	1	2
MXI1	0	1	0	0	0	0	0	0	5	0	115	41	31	0	4	0	6	6	1	0	16	6	6	42	8	1	0	0	0	0	0	0	0	3	0	0	1
MXRA5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MXRA7	0	0	0	0	0	0	0	0	0	1	15	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MXRA8	0	0	0	0	0	0	0	0	0	0	17	20	11	0	0	1	0	0	0	1	1	0	3	13	1	1	0	0	0	0	0	1	0	0	2	0	0
MYADM	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYADML2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYB	0	0	0	0	0	1	0	1	0	0	4	34	17	0	0	0	2	2	0	1	4	4	2	14	5	2	0	0	0	0	0	3	0	0	0	1	0
MYBBP1A	1	0	0	0	0	0	0	0	5	0	8	125	28	0	3	0	8	6	0	5	34	9	10	75	5	4	0	0	1	0	0	1	0	4	3	0	0
MYBL1	0	0	0	0	0	0	2	0	3	0	5	24	26	0	7	0	12	14	0	3	30	1	19	61	11	4	0	0	0	0	2	0	0	5	0	0	0
MYBL2	0	1	0	0	0	0	0	0	20	0	40	327	365	6	17	4	46	27	0	14	243	75	217	491	197	11	0	0	0	0	7	8	0	0	5	2	1
MYBPC1	0	0	0	0	0	0	0	1	1	0	1	67	10	0	1	0	6	0	0	1	8	6	8	15	0	0	0	0	1	0	0	0	0	0	0	1	0
MYBPC2	0	0	0	2	0	0	0	0	1	0	1	24	5	0	0	0	0	2	0	0	6	1	4	11	0	1	0	0	0	0	0	0	0	0	1	0	0
MYBPC3	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYBPH	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYBPHL	0	0	0	0	0	0	2	1	0	0	75	35	50	0	1	0	6	6	0	0	26	0	13	30	10	3	0	0	1	0	1	2	0	0	1	0	3
MYC	0	1	0	0	0	0	0	0	0	0	132	1	0	1	0	0	0	1	0	0	1	1	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0
MYCBP2	0	0	0	2	0	0	0	0	6	0	59	91	61	0	6	1	17	20	0	8	63	14	31	150	22	4	0	0	0	0	7	6	0	1	12	0	1
MYCBPAP	0	0	1	0	0	0	0	1	0	1	287	9	5	0	0	0	1	0	0	0	2	2	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0
MYCL	0	0	0	0	0	0	0	0	0	0	2	3	9	0	1	0	0	1	0	1	4	2	3	8	0	0	0	0	0	0	0	0	0	2	0	0	0
MYCN	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYCT1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYD88	0	0	0	0	0	0	0	0	1	0	54	15	8	0	1	0	0	0	0	0	6	0	2	4	1	0	0	0	0	0	0	0	0	1	0	0	0
MYDGF	0	0	0	1	0	0	0	1	18	3	268	280	210	5	10	0	40	27	0	9	128	58	20	88	13	4	0	0	2	0	3	8	1	27	21	3	0
MYEF2	0	0	0	0	1	0	0	0	1	0	91	14	27	0	2	1	9	9	0	2	27	7	26	59	3	6	0	0	1	0	2	1	0	0	2	0	0
MYEOV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYF5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYF6	0	0	0	0	1	0	0	0	0	0	0	11	0	0	1	0	0	0	2	2	0	0	0	3	0	0	0	0	0	0	2	0	0	2	0	0	0
MYH10	7	16	21	60	30	2	11	61	185	1	296	1369	1309	26	327	38	625	498	5	161	1098	749	558	1074	292	75	2	22	47	14	123	117	1	113	139	42	45
MYH11	4	1	5	2	6	1	2	0	34	2	181	544	321	5	70	12	102	68	2	18	311	61	148	488	127	23	0	1	5	3	35	11	0	15	18	12	6
MYH13	3	0	0	0	0	0	2	0	14	1	5	562	110	1	4	1	45	18	0	4	113	65	30	61	18	1	0	0	2	0	9	7	0	14	3	3	0
MYH14	0	2	0	1	0	0	0	0	2	0	1	22	29	0	0	0	0	1	1	1	22	0	8	79	11	3	0	0	0	0	0	2	0	0	0	0	1
MYH15	2	0	1	10	3	3	2	13	15	1	12	269	397	2	97	17	303	474	2	54	338	239	181	399	57	12	0	0	5	0	46	15	0	5	15	4	7
MYH2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	3	2	9	1	0	0	1	0	0	0	0	0	0	0	0	0
MYH3	0	2	0	3	0	1	3	3	10	0	6	183	54	0	12	1	17	7	0	9	129	28	76	224	41	6	0	0	0	0	9	7	0	1	7	5	5
MYH6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYH7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYH7B	0	1	0	0	0	0	0	0	3	0	0	4	1	0	0	0	0	0	0	0	3	0	2	4	0	0	0	0	0	0	0	2	0	1	0	0	0
MYH8	0	0	0	1	0	0	0	0	0	0	0	5	1	0	0	0	1	3	0	0	4	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
MYH9	1	0	0	1	0	0	1	0	5	0	290	11	12	1	3	0	0	2	0	1	4	2	5	15	1	2	1	0	0	0	0	3	0	0	5	1	0
MYL1	0	0	0	0	0	0	0	0	0	0	0	8	2	0	2	0	4	7	1	0	6	1	1	5	1	0	0	0	0	0	1	0	0	0	0	0	0
MYL10	0	0	0	1	1	0	1	2	0	1	4	367	807	2	288	14	224	736	1	26	535	540	98	119	1	1	0	1	1	1	165	0	0	0	0	1	0
MYL12A	5	2	9	15	6	3	8	16	57	3	849	955	1024	11	104	16	321	326	6	60	714	464	178	537	104	10	1	3	7	4	59	21	0	36	44	20	15
MYL2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0
MYL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYL4	0	0	0	0	0	0	0	0	2	0	8	19	15	0	1	1	6	3	0	0	6	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MYL5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYL6B	0	0	0	0	0	0	0	0	0	0	76	46	36	0	0	0	1	1	0	0	8	3	5	15	1	0	0	0	0	0	1	1	0	7	2	0	0
MYL7	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYL9	0	0	0	0	3	0	0	0	0	1	190	2	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	9	0	0
MYLIP	0	0	0	3	0	0	0	0	0	0	94	45	72	0	8	0	15	15	0	0	55	16	20	88	7	3	0	0	0	0	6	0	0	0	1	0	0
MYLK	0	0	0	0	3	0	2	3	3	1	184	180	110	0	6	2	12	26	0	7	120	37	46	129	29	3	0	0	0	0	3	3	0	0	0	0	0
MYLK2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYLK3	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MYLK4	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYLPF	0	0	0	1	0	0	0	0	1	0	4	27	4	0	0	0	0	1	0	0	8	4	2	6	0	0	0	0	0	0	0	1	0	0	0	0	0
MYMK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYMX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYNN	0	0	0	1	2	0	2	1	10	0	103	152	104	0	17	0	25	51	0	6	54	42	16	62	10	0	0	0	2	0	9	1	0	3	2	0	1
MYO10	0	0	0	0	1	0	1	2	26	0	127	58	57	0	2	1	18	5	0	5	45	15	24	70	27	6	0	1	2	1	6	8	0	17	0	2	5
MYO15A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYO15B	0	0	0	0	0	0	0	0	0	0	11	3	4	0	0	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
MYO16	0	0	3	2	0	2	0	2	18	0	5	163	45	0	9	1	16	9	0	11	52	34	13	58	4	1	0	0	1	0	3	6	0	1	4	3	0
MYO18A	0	0	0	1	0	0	1	0	4	0	8	36	9	0	2	0	8	3	0	0	16	1	27	44	3	0	0	0	0	0	1	0	0	0	2	0	0
MYO18B	0	0	0	0	0	0	0	2	2	0	3	17	11	0	4	2	0	2	0	1	13	5	8	24	5	0	0	0	0	0	0	0	0	0	0	0	4
MYO19	0	0	0	0	0	0	0	0	0	0	0	50	3	0	0	0	0	0	0	0	8	2	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0
MYO1A	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYO1B	0	0	1	1	0	1	3	6	25	0	194	120	191	0	25	2	64	40	2	15	174	51	47	164	42	1	0	1	0	2	23	9	0	4	9	1	0
MYO1C	0	0	0	2	0	0	0	0	3	0	1	96	32	0	1	0	2	4	0	1	36	11	6	19	0	0	0	0	0	0	0	1	0	3	5	0	0
MYO1D	0	0	0	0	0	0	0	0	0	0	1	7	5	0	0	0	1	1	0	0	0	0	2	10	1	0	0	0	0	0	0	0	0	0	0	0	0
MYO1E	2	1	0	1	0	0	1	3	22	0	10	96	89	1	2	0	13	8	0	10	121	13	49	197	46	15	1	0	0	0	6	10	0	11	36	4	3
MYO1G	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYO3A	0	0	0	1	0	0	0	0	0	0	2	9	9	0	0	0	1	3	1	0	1	5	3	0	6	2	0	0	2	0	0	1	0	0	0	1	0
MYO3B	1	2	0	1	0	0	0	0	8	0	9	653	435	1	47	6	88	104	0	12	315	134	46	229	18	2	0	0	4	1	26	2	0	2	1	1	0
MYO5A	0	1	1	3	1	0	0	0	5	0	35	44	24	0	6	0	16	11	0	3	33	8	23	68	8	8	0	0	1	0	3	3	0	0	6	2	0
MYO5B	0	0	1	1	0	0	0	1	4	0	7	120	93	1	7	1	24	21	0	5	82	25	45	160	27	3	0	0	0	2	15	5	0	4	8	0	0
MYO5C	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
MYO6	3	0	1	5	1	0	2	4	19	0	109	306	99	0	13	3	18	32	0	8	102	30	33	111	30	7	0	0	1	0	14	11	0	19	20	10	3
MYO7A	0	0	0	0	0	0	0	0	1	0	2	24	11	0	0	0	5	0	1	0	13	1	6	12	9	2	0	0	0	0	1	7	0	0	2	0	0
MYO7B	0	0	0	0	0	0	0	0	2	0	5	37	47	0	0	0	6	4	0	0	25	7	10	28	3	0	0	0	0	0	0	0	0	4	3	1	0
MYO9A	1	0	0	0	0	0	1	3	13	0	25	161	138	1	29	2	52	26	0	6	111	38	81	150	44	4	0	1	2	0	13	4	0	2	3	0	0
MYO9B	0	0	0	0	0	0	0	0	1	0	5	0	1	0	0	0	0	0	0	1	4	0	5	23	1	0	0	0	0	0	0	0	0	0	0	0	0
MYOC	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	1	2	0	0	0	5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MYOCD	0	0	0	0	0	0	0	0	0	0	11	4	0	0	0	0	1	0	0	0	1	2	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0
MYOCOS	10	10	3	28	11	7	11	122	51	2	50	1567	1673	12	933	182	1834	1588	11	286	1339	1349	242	619	35	3	5	5	17	8	459	24	0	16	43	14	9
MYOD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYOF	5	3	4	3	2	2	11	16	62	1	11	567	728	6	113	16	193	248	1	56	551	327	197	706	86	16	0	2	7	1	46	20	0	16	23	9	3
MYOG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYOM1	1	0	0	1	1	0	0	0	7	0	28	88	8	0	2	0	9	9	1	1	23	9	9	17	3	1	0	0	0	0	1	2	0	0	1	1	0
MYOM2	1	0	0	1	0	0	2	2	8	0	3	38	35	1	1	0	1	2	0	0	18	6	16	55	32	1	0	0	0	0	0	1	0	5	6	1	2
MYOM3	0	0	0	0	0	0	0	0	0	0	6	4	8	0	0	0	2	0	0	1	4	1	2	3	0	1	0	0	0	0	0	0	0	0	0	0	0
MYOT	0	0	0	0	0	0	0	0	0	0	2	4	0	0	1	0	0	0	0	2	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MYOZ1	0	0	0	0	0	0	0	0	0	0	1	52	3	0	0	0	2	5	0	0	1	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0
MYOZ2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYOZ3	0	0	0	0	0	0	0	0	0	0	2	1	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MYPN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
MYPOP	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYRF	0	0	0	0	0	0	0	0	0	0	26	2	4	0	0	0	1	0	0	0	1	0	1	3	1	0	0	0	0	0	0	0	0	1	0	0	0
MYRFL	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYRIP	0	0	1	3	1	0	0	0	0	0	44	155	82	0	7	0	19	19	1	3	43	16	23	71	8	1	0	0	0	0	4	0	0	0	4	1	0
MYSM1	4	1	0	0	1	0	0	7	23	1	145	106	70	0	18	4	24	28	0	2	69	26	40	118	12	4	0	0	3	0	7	1	0	3	6	4	0
MZB1	0	0	1	1	0	0	1	0	0	1	3	1	0	3	0	0	0	0	0	0	4	0	0	1	3	0	0	1	0	0	1	0	1	0	0	0	0
MZT1	2	1	0	0	5	0	0	3	7	0	49	94	63	0	7	0	15	3	2	6	46	29	11	34	8	1	0	0	1	1	9	2	0	7	3	2	0
N4BP1	0	0	0	4	0	1	0	0	1	0	75	17	24	0	3	0	7	3	0	0	23	10	23	37	7	5	0	0	3	0	6	1	0	0	2	0	0
N4BP2	1	0	0	2	0	0	0	3	8	0	257	205	176	0	24	3	43	33	0	10	110	41	58	130	38	0	0	0	2	0	18	2	0	1	1	1	1
N4BP2L1	0	0	0	0	0	0	0	0	2	0	62	0	3	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0
N4BP2L2	1	1	0	3	1	3	4	11	11	1	74	507	368	1	80	11	94	140	1	21	267	212	104	285	58	4	0	3	1	0	47	6	0	25	6	2	4
N4BP3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0
N6AMT1	0	0	0	0	1	0	0	0	2	0	34	82	35	1	4	0	11	12	0	0	30	15	3	16	0	0	0	0	0	0	1	0	0	3	1	1	0
NAA10	0	0	0	3	0	1	0	0	21	1	132	251	139	3	3	1	16	8	0	7	105	24	39	149	26	8	0	0	1	0	4	10	0	20	29	8	7
NAA11	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NAA15	1	1	0	4	1	3	4	4	21	0	100	192	182	0	28	3	52	50	0	12	119	37	56	158	19	3	1	2	0	0	20	8	0	6	20	1	4
NAA16	0	0	0	0	0	0	0	4	1	0	100	169	84	0	10	1	21	13	0	2	60	22	26	84	21	2	0	0	0	0	12	3	0	1	4	1	1
